9926,1467,33
6824,842,40
6824,426,9
2560,323,40
5287,272,40
4003,601,38
10100,470,38
2474,299,36
4316,236,36
9435,1178,33
9435,580,4
4657,328,33
4055,456,32
4629,347,31
2817,192,31
6770,1139,30
9157,1256,29
9157,829,17
508,412,29
9922,634,26
8541,781,25
6902,472,25
8038,185,25
10627,1417,24
5825,818,23
7799,563,23
3496,227,23
4687,206,23
9823,4274,22
9823,1495,10
7595,1222,22
7595,844,15
6825,588,22
6066,286,22
5652,335,21
8934,1638,20
9734,1306,20
9202,696,20
3204,548,20
9549,410,20
1858,191,20
374,648,19
9438,225,19
10442,94,19
6153,329,18
1108,208,18
5918,967,17
9595,601,17
9228,309,17
3349,265,17
5317,250,17
7043,224,17
9453,1267,16
9579,735,16
8572,635,16
6843,381,16
10402,345,16
6837,288,16
10409,270,16
7886,211,16
9870,1517,15
10206,826,15
9897,620,15
10564,512,15
10354,435,15
9603,412,15
9449,373,15
7451,369,15
6146,323,15
8164,263,15
9,258,15
7575,227,15
4474,201,15
9669,190,15
7721,119,15
6110,664,14
4155,407,14
8832,337,14
160,336,14
8736,274,14
9860,260,14
9536,220,14
8500,180,14
9505,175,14
4357,155,14
5752,117,14
7078,538,13
8176,421,13
9052,393,13
7434,299,13
10124,279,13
4743,259,13
1558,238,13
8235,157,13
2347,155,13
2116,143,13
5462,135,13
10065,3555,12
9881,1376,12
10537,459,12
8011,374,12
9729,261,12
6555,240,12
6273,215,12
7230,204,12
5316,200,12
2082,168,12
5887,154,12
8139,145,12
4368,135,12
3764,115,12
9226,114,12
10097,107,12
9809,1535,11
8990,1305,11
9861,834,11
8920,605,11
9494,528,11
6025,378,11
8450,347,11
9688,310,11
6558,259,11
9365,253,11
10136,246,11
8090,239,11
7453,225,11
4235,214,11
8837,176,11
5262,151,11
10092,129,11
8243,124,11
7911,114,11
9516,65,11
9767,1,026,10
8123,999,10
7106,897,10
9657,556,10
5049,485,10
10323,304,10
9136,299,10
8017,268,10
3155,260,10
975,259,10
10104,253,10
9468,249,10
7936,236,10
8542,222,10
7353,208,10
7293,203,10
8007,188,10
9172,172,10
